Unnamed: 0,review
108,전에 네이비 구매하고 마음에 들어서 하나 더 장만했습니다  예쁜데 니플패치를 붙혀야 편하게 가슴 피고 다닐 거 같아요 ㅋㅋ
109,나쁘지 않음  싼마이 티는 안나는게 가성비 좋은 것 같습니다  한두철 입기 좋을듯하네요
110,체크 패턴도 딱 적당하고 기장감도 괜찮아요 몸통 부분이 생각보다 펑퍼짐해서 단추 풀고 다니는 게 더 낫네요
111,후기가 없어서 걱정했는데 제가 생각했던 두께감의 옷이라 만족스럽습니다  얇은데 부드럽고 휘뚜루마뚜루 오버핏으로 입기 좋을 것 같아요
112,무싱사에서    채크 셔츠 첨 사보는 데    너무좋다     내 동년배들도     다 좋다 한다 따스한 봄날애 어울린다    오래오래 입어야갰다   
113,길이감도 좋아 레이어드용과 단품 모두 스타일링하기 편하고 색감이랑 체크패턴 이쁘게 잡혀있습니다        분들이 입을때 가장 이쁠듯 
114,체크셔츠가 유행인거 같아서 가성비로 장만했는데  너무 만족스럽습니다  힙하게 입기 너무 좋네요
115,음음 생각한대로의 느낌입니다 약간 가볍게 휘뚜루마뚜루 촥촥 걸칠 거 동네 마실 용으로 샀는데 아주 만족  가격도 싸게 사서 굳  아 근데 한 사이즈 컸어도 좋았을 거 같아용  더 후리하게 입고 싶었는데 살짝 아숩 ㅎㅎ
116,이너로 착용하시려면 라지 이상으로 구매하셔요  단품은 미뎜으로 입어도 충분한데 레이어드로 입기엔 쪼끔 크롭하네요  무난하게 이쁜 체크셔츠입니다  이런거 한 벌씩은 가져가셔유 
117,검청에 입으려고 샀는데 참 잘 어울리는 색감입니다
118,간절기에 대충 두를 용으로 샀는데 보풀 잘 일어날 것 같은 재질입니당  세일할 때 안 샀으면  조금 억울했을 듯 ㅎㅎ 완전 얇은데면은 아닌 느낌  근데 살에 닿는 감촉은 거슬리는 거 없음
119,체크 패턴이 좀 더 뚜렸했으면 좋겠어요 패턴이 약간 흐릿함
120,절대 리뷰 안좋게 안쓰는데 이건 진짜 최악     디자인 색상 너무 이쁨 기대하며 받음    입고 일상생활중 손이 심할정도로 새까매지기 시작    온몸이 따가워지며 붉어지기 시작    이염이 너무 심해서 몸까지 까매지기 시작    샤워하려고 들어갔는데 거품이 새까매짐    문의 답변에 세탁하면 덜 할꺼라길래서 씻으면서 손빨래시작   물에만 담궜을 뿐인데 세면대 욕조 전부 이염돼서 새까매짐   번을 중성세제로 손빨래해도 멈추지않는 물빠짐          한번 손빨래 직후 옷 프린팅까지 이염됨 ㅋㅋ프린팅이 까매지는 매직 거의 자해수준 이정도면 무한 먹물 대용으로 사도 될 지경 일단  회 세탁 후 널어놨는데 그대로 쓰래기통에 버려야하나 싶을 정도에요  환불받아야하나 했지만 이돈에 감정싸움하기도 싫고 좋은 소리 안나올꺼같아서 걍 리뷰로 대신함  어차피 이 글에도 무신사에서 대신 죄송하단 말만 달릴듯
121,핏은 딱 원하던 핏인데   옷이 물빠짐 장난 아니에요   살에 물들고 다른옷에도 이염   그리고 두개 시켰는데 하나만 왔네요  
122,옷은 이뻐서 잘 입으려고 했는데 손빨래하다 넘 화나서 다시 써요  세번 째 빠는데 무슨 먹물같네요  이런옷을 세탁도 안하고 입은거 생각하니 짜증나네요  아까 손톱 물들어서 바짝 깎았는데 빨래하다 또 물들었네요  엄마도 요즘 이런옷이 어딨냐고 하네요  사진은  번째 세제넣고 빨고 행구는 물입니다  참고하세요 
123,피그먼트의 느낌과 앞에 프린팅 느낌이 잘어울려요 
124,스트릿하게 입어보고싶어서 사봤는데 스트릿은  어렵군뇨  이쁘긴합니다 ㅎㅎ
125,ㅎ 색감이랑 핏 너무 예쁨 ㅎ 이거 입고 반팔 예뿌다고 칭찬 많이 받아따 ㅎ
